ID,Gender,Age,Region_Code,Occupation,Channel_Code,Vintage,Credit_Product,Avg_Account_Balance,Is_Active,Is_Lead
JFP2I2HR,Male,28,RG269,Salaried,X1,27,No,757835,No,0
NB6TXYIU,Female,69,RG270,Other,X3,56,No,861849,Yes,0
G2DV4IJX,Male,54,RG270,Self_Employed,X1,15,No,346299,No,0
NND95DQ5,Male,27,RG254,Self_Employed,X2,14,Yes,1016833,No,1
BBN8REIW,Male,25,RG277,Salaried,X1,15,No,704559,No,0
OKXIRRWF,Male,29,RG277,Salaried,X1,21,No,891246,No,0
Z95H93WH,Female,27,RG254,Salaried,X1,27,No,563405,Yes,1
DIK93ELI,Male,56,RG283,Self_Employed,X3,85,Yes,1039253,No,0
FCLQBCJZ,Male,29,RG283,Salaried,X1,14,No,1281849,No,0
XQDX7ZKM,Male,76,RG283,Other,X2,109,,3287900,No,1
6FGAFDCS,Female,74,RG283,Other,X3,122,No,2919013,Yes,0
E98AUF6V,Male,31,RG268,Salaried,X1,33,No,1875683,No,0
WMEX8RIS,Female,51,RG268,Self_Employed,X2,69,No,450197,No,0
B4FUCY7H,Male,27,RG280,Salaried,X1,21,No,639180,No,0
K6KV9RDA,Male,46,RG283,Salaried,X3,27,,782238,Yes,1
NELFXZ8B,Female,81,RG255,Other,X3,133,No,1621606,Yes,0
5P86DNJB,Male,29,RG282,Salaried,X1,31,No,605226,No,0
HGIGAZP7,Male,74,RG283,Other,X3,33,Yes,1136227,No,0
XRTUGIWF,Male,29,RG269,Salaried,X1,13,No,484400,No,0
93K3BCDH,Male,61,RG254,Self_Employed,X2,93,,850332,No,1
BRU5JZB4,Male,60,RG261,Other,X3,87,No,1222272,Yes,0
E5FQJUMX,Male,41,RG272,Self_Employed,X3,79,,1191674,No,1
DCJISRVO,Male,37,RG280,Self_Employed,X2,33,No,300980,Yes,0
XDU9VEFB,Female,67,RG268,Other,X3,55,No,6588376,Yes,0
FE3CDUPW,Male,51,RG283,Self_Employed,X3,62,Yes,1171231,No,1
REQFSBOY,Female,40,RG273,Salaried,X2,45,Yes,558225,No,0
HWQC4WPD,Male,67,RG284,Other,X3,99,No,1534386,Yes,0
3RQ5FIDA,Male,52,RG277,Self_Employed,X3,110,,1270483,Yes,1
BNVI7ZKN,Female,28,RG268,Salaried,X1,13,No,2015983,Yes,0
SPEXZJBZ,Female,32,RG254,Salaried,X1,27,Yes,981198,Yes,0
ABE2COQA,Male,45,RG273,Self_Employed,X2,15,Yes,551470,No,1
CH9PJPND,Male,32,RG270,Salaried,X1,14,Yes,546860,No,0
4YXGDJNX,Male,49,RG284,Entrepreneur,X1,51,Yes,1511237,Yes,0
8ZRACWXP,Male,69,RG268,Other,X2,49,No,1106385,Yes,0
AHFACS76,Male,33,RG252,Salaried,X1,27,Yes,748596,No,1
NIENYPVS,Female,27,RG268,Other,X1,15,No,1298803,Yes,0
3A9SRGAV,Male,29,RG273,Salaried,X1,21,Yes,993498,Yes,0
SHQ6SJSA,Male,85,RG262,Other,X2,91,No,946372,Yes,0
QYELGXYY,Male,63,RG259,Other,X2,91,No,655066,Yes,0
IRKXXWWH,Female,27,RG270,Salaried,X1,19,No,838202,No,1
W3CAKBKU,Male,39,RG283,Self_Employed,X3,74,No,1276972,Yes,0
42BJQOQL,Male,48,RG284,Self_Employed,X2,104,Yes,812756,Yes,0
I4KK3WJN,Male,31,RG254,Salaried,X1,32,No,1486673,Yes,0
DOEXXV4U,Male,39,RG268,Entrepreneur,X1,62,Yes,1594702,Yes,1
DCAHBCFO,Male,62,RG277,Other,X2,74,No,930361,No,0
QJAKMPBV,Male,80,RG268,Other,X3,91,,518362,Yes,1
K8M8VBCP,Male,27,RG254,Other,X1,20,Yes,1357837,No,0
7GOCHKRX,Female,29,RG283,Salaried,X1,8,No,858743,Yes,0
YJKFVKGU,Female,53,RG268,Self_Employed,X2,63,Yes,1933854,Yes,0
6EGHZBAK,Male,26,RG259,Other,X3,20,Yes,392107,Yes,0
UC2FFYUY,Male,72,RG268,Other,X2,86,No,1736683,Yes,0
FFH6UUKX,Male,29,RG282,Salaried,X1,14,No,160831,No,0
Z6WTBVMK,Female,25,RG278,Other,X1,21,No,340629,Yes,1
NRRVJTO2,Male,44,RG280,Self_Employed,X3,91,No,427947,No,0
EXYLCGEW,Male,54,RG253,Self_Employed,X2,91,,480858,No,1
DGHY8J95,Male,58,RG254,Other,X3,115,No,1170358,Yes,0
BNYGY4OQ,Male,47,RG258,Self_Employed,X2,51,Yes,629657,No,0
NAVXHKZE,Male,25,RG282,Salaried,X1,20,No,963656,No,0
XGWRIWSV,Female,58,RG283,Self_Employed,X3,93,No,2138839,Yes,1
DKBDIFQN,Male,54,RG267,Self_Employed,X3,55,Yes,403686,No,0
VFE5TRNT,Female,36,RG277,Self_Employed,X3,73,,619929,Yes,1
PYC9V2HJ,Male,42,RG283,Self_Employed,X3,51,Yes,2119446,No,0
2NRS9YAX,Male,49,RG254,Other,X2,74,,1016771,No,1
D9CBJGBQ,Male,50,RG268,Self_Employed,X3,109,Yes,1582517,No,0
CLI9DJJD,Female,36,RG254,Other,X3,13,No,1729830,No,0
EM3QVHTC,Male,34,RG273,Salaried,X1,32,No,1875292,No,0
EWF62GHX,Female,30,RG268,Salaried,X1,27,No,2563600,No,0
FEFMENJ2,Female,48,RG254,Other,X3,91,Yes,1150102,No,0
GBJZYF7Q,Female,32,RG254,Salaried,X1,27,No,1023731,Yes,0
LCSTS2DF,Male,57,RG277,Other,X3,63,Yes,384355,No,0
YXHTQEZS,Male,63,RG284,Other,X2,26,No,1368633,Yes,0
DQEC8ZI7,Male,35,RG258,Self_Employed,X2,20,Yes,484809,No,0
RSAKXZHE,Male,56,RG265,Other,X2,74,Yes,990828,No,0
SGKQD7Q5,Male,54,RG280,Self_Employed,X3,93,,2289961,No,1
EFIWEVQK,Male,34,RG275,Self_Employed,X1,33,No,636875,No,0
QPUXWVN8,Female,52,RG284,Self_Employed,X3,39,Yes,1437394,Yes,0
RIMQCB3X,Male,30,RG283,Other,X1,15,Yes,704408,Yes,0
MTMGDOJJ,Female,30,RG268,Salaried,X1,19,No,1562581,Yes,1
QRW7MY7B,Female,29,RG266,Salaried,X1,26,No,868524,Yes,0
KFG5OMSK,Male,28,RG279,Salaried,X1,27,No,245346,No,1
CYL3WXXW,Male,48,RG283,Self_Employed,X2,27,,859633,Yes,1
BY8XMRXO,Male,52,RG257,Self_Employed,X4,13,No,491502,Yes,0
U2KVAMQM,Female,62,RG252,Other,X1,26,No,480208,No,0
UTFM7ZAT,Female,58,RG283,Self_Employed,X3,21,No,595205,Yes,0
JXCYEACS,Female,27,RG270,Other,X1,15,No,790560,No,0
HZXQGZGU,Male,49,RG270,Self_Employed,X3,98,Yes,666432,Yes,0
W4ELWUYU,Male,32,RG274,Self_Employed,X2,13,Yes,620953,No,1
PVE7VDSB,Male,24,RG283,Salaried,X1,15,No,900858,Yes,0
G4PGVZRP,Male,48,RG268,Self_Employed,X3,20,No,802895,No,0
X5NRCCBR,Female,28,RG269,Salaried,X1,20,No,868097,No,0
NSYIEVDL,Male,52,RG274,Other,X3,116,Yes,982996,No,1
4ZTAHXQG,Male,36,RG269,Self_Employed,X2,14,No,355288,Yes,1
FMOKAEU9,Female,52,RG265,Self_Employed,X3,19,,560361,Yes,1
ABPI3SQX,Male,26,RG281,Salaried,X1,19,No,613566,No,0
3ZRTDFBA,Female,52,RG251,Self_Employed,X3,20,Yes,871621,Yes,1
AFG8CM7P,Female,52,RG284,Self_Employed,X1,21,No,468736,No,0
NCMBDM2L,Male,28,RG256,Salaried,X1,27,No,551657,No,0
XLMFZADR,Male,26,RG272,Other,X1,13,No,433599,No,0
M3T6SIUJ,Male,44,RG269,Salaried,X2,49,Yes,1359208,Yes,1
UMXB6ZKG,Female,31,RG261,Other,X1,20,Yes,854070,No,1
IEVLYQI7,Female,31,RG283,Other,X1,21,No,2826195,No,0
P7SJ9JAT,Male,66,RG254,Other,X4,13,Yes,1160586,Yes,1
EGBF3GIF,Female,28,RG257,Salaried,X1,21,No,1388800,Yes,0
4QXXRY3A,Male,27,RG256,Other,X1,21,No,629265,No,0
KEFAMGF8,Male,27,RG276,Self_Employed,X1,27,No,595116,No,0
HFKRMCND,Male,76,RG283,Other,X3,68,,1094317,Yes,1
7HF8KHJB,Male,30,RG254,Self_Employed,X1,27,Yes,1045972,No,0
ITKTQGHV,Female,27,RG270,Self_Employed,X1,13,Yes,1371231,No,0
ABGHUP4U,Male,31,RG252,Salaried,X1,19,No,388137,No,0
HP26RSRY,Male,50,RG268,Self_Employed,X2,26,Yes,1408914,No,0
FGCNCHMP,Female,28,RG268,Salaried,X1,15,No,1109803,Yes,0
ERH6PQCC,Female,64,RG276,Other,X3,69,Yes,1592076,Yes,0
6FUXUVDK,Female,51,RG251,Self_Employed,X2,25,Yes,1109313,No,0
39KXBZEG,Male,46,RG281,Salaried,X3,13,,545623,Yes,1
UKKR8RGY,Male,27,RG270,Salaried,X1,21,No,981643,No,0
K8JNY855,Male,28,RG283,Other,X1,19,No,1225423,Yes,0
4UFBRFZ2,Female,36,RG272,Salaried,X1,14,Yes,688005,No,1
EQCEBTLE,Female,53,RG251,Self_Employed,X3,15,Yes,418860,No,1
Q7XTCFWN,Male,45,RG284,Other,X2,14,No,768016,Yes,1
8DKTZRMR,Male,48,RG272,Other,X3,19,No,496993,No,0
72WM854O,Male,47,RG282,Self_Employed,X2,49,No,355083,Yes,0
QNVD4UAK,Male,29,RG283,Self_Employed,X4,15,No,1127469,Yes,0
UGSMEWTY,Male,32,RG269,Self_Employed,X1,27,Yes,695686,No,0
QC9VZFIQ,Male,31,RG255,Salaried,X1,19,No,1156982,No,0
NE9AZYUE,Male,54,RG283,Salaried,X1,80,Yes,1525735,No,1
BEBGJJDT,Male,33,RG252,Salaried,X1,26,No,209256,No,0
NLS8PSVM,Male,61,RG257,Self_Employed,X3,67,No,547536,No,0
FXN8BYN2,Female,36,RG280,Self_Employed,X1,32,No,639429,No,0
4XHDTB3Y,Male,28,RG284,Salaried,X1,20,Yes,420605,No,0
HHDXCR8C,Female,31,RG284,Self_Employed,X1,26,No,320551,No,0
UUE3FYDK,Male,42,RG251,Self_Employed,X3,13,No,1509342,Yes,0
4RXTG84S,Male,45,RG284,Self_Employed,X2,33,No,4067059,Yes,0
HKB9U3HC,Female,56,RG270,Self_Employed,X2,74,Yes,1007862,Yes,1
KJD7VID4,Male,30,RG261,Salaried,X1,32,No,2037690,No,0
EXHYZVQD,Male,79,RG268,Other,X3,91,Yes,1674357,No,0
NIEW4YWU,Male,77,RG254,Other,X2,85,Yes,1579536,No,1
UKY55FEE,Female,43,RG274,Self_Employed,X2,25,Yes,895437,No,0
GHNFMM7G,Female,31,RG268,Salaried,X1,33,No,2741226,Yes,0
KO7ZXHDB,Male,28,RG262,Salaried,X1,19,No,1514477,No,0
CAUX4PHB,Female,28,RG277,Other,X1,25,Yes,464580,No,0
4AS9B4IH,Male,61,RG277,Self_Employed,X2,99,Yes,532237,Yes,0
8JR6OQYI,Male,62,RG263,Other,X2,33,No,926018,Yes,0
E99OBPF7,Male,67,RG260,Other,X3,105,,1454491,Yes,1
TWSHKD6G,Male,33,RG273,Self_Employed,X2,19,No,443718,Yes,0
N3QCSQW4,Female,50,RG282,Self_Employed,X2,51,No,683742,No,0
RUTGUS3Z,Female,27,RG283,Self_Employed,X1,19,No,5420269,Yes,0
VD6BWEKJ,Male,48,RG254,Self_Employed,X3,86,No,916530,Yes,0
9PHZNQMN,Female,28,RG257,Salaried,X1,15,No,237380,No,0
WTH6P9DR,Male,82,RG254,Other,X3,67,No,1764122,Yes,0
HAPWPORA,Female,66,RG264,Other,X2,49,No,719404,No,0
BPPQGUCN,Male,29,RG283,Salaried,X1,32,No,990205,No,0
EOCHAZZG,Male,32,RG272,Other,X1,19,No,595232,No,0
BPTJ47RZ,Male,32,RG254,Salaried,X1,26,Yes,939786,No,0
HV7YBERO,Male,55,RG280,Self_Employed,X2,20,Yes,701684,No,0
KMJCQEJ7,Female,28,RG274,Salaried,X1,19,Yes,1157605,No,0
FF3BM4KS,Female,49,RG273,Self_Employed,X3,91,,734472,No,1
XCO9ZBVE,Male,49,RG264,Other,X1,99,Yes,455368,No,1
TJQCY5HS,Female,77,RG255,Other,X3,91,No,1468998,Yes,0
9JSEMBJE,Male,29,RG269,Salaried,X3,20,No,515986,No,0
XYTWTANX,Female,83,RG284,Other,X3,92,No,624726,Yes,0
GSKPQYMM,Male,52,RG276,Self_Employed,X3,110,Yes,643603,Yes,1
KRQ7F76M,Female,29,RG274,Salaried,X1,39,No,556819,No,0
XFCBKHRV,Male,34,RG265,Other,X1,33,No,615915,No,0
FXJNNADE,Female,62,RG283,Other,X3,105,Yes,908494,Yes,0
DJ3YWMRM,Female,52,RG284,Self_Employed,X1,93,Yes,1644034,Yes,1
CKXDCUWO,Female,27,RG280,Salaried,X1,21,No,948651,Yes,1
A34FHQ65,Female,45,RG283,Salaried,X1,93,Yes,1189903,No,1
8KVH9NXD,Male,29,RG253,Salaried,X1,20,No,989475,No,0
BD3MMKDJ,Male,56,RG254,Other,X2,14,Yes,1048224,No,0
6KNGNPNY,Female,42,RG277,Self_Employed,X3,33,No,987116,Yes,0
KTJSMJDN,Male,29,RG279,Other,X1,21,No,369100,No,0
KZXIZUVE,Female,26,RG270,Other,X1,14,No,504727,No,0
NBMVKUXY,Female,47,RG262,Self_Employed,X2,21,Yes,702726,No,0
74BZQSTA,Male,58,RG284,Self_Employed,X2,27,Yes,1034847,No,0
GRAODNPL,Male,51,RG280,Self_Employed,X3,68,No,550420,No,0
LVY2TZNM,Male,50,RG254,Self_Employed,X2,69,,1038309,Yes,0
SUSYWXNF,Male,47,RG271,Salaried,X3,85,No,478036,No,1
KUBQ6DB4,Female,32,RG264,Salaried,X1,20,No,321147,No,0
GPBQ8RP2,Female,51,RG269,Self_Employed,X2,98,,1056447,Yes,1
GZSDKEWL,Male,29,RG257,Self_Employed,X2,25,,917447,No,1
7SZZM4WJ,Male,57,RG260,Self_Employed,X3,62,Yes,1161930,Yes,0
TBHH9S38,Male,51,RG281,Other,X3,111,No,248221,Yes,0
OTEWJ8UW,Male,58,RG250,Self_Employed,X2,73,,717722,No,0
GMTWZQWS,Male,48,RG276,Self_Employed,X2,61,No,1357712,Yes,0
HFY38E9Y,Female,29,RG261,Salaried,X1,15,No,841566,No,0
MWYRSJBB,Female,28,RG266,Other,X1,19,No,329157,No,0
FNHZ8YJU,Male,57,RG268,Other,X2,45,Yes,1361344,No,0
LHER4SD7,Male,55,RG283,Other,X3,80,,459658,No,1
FNMLGZ9C,Female,37,RG280,Self_Employed,X1,19,Yes,1324996,Yes,1
KEA7VBFR,Male,25,RG254,Salaried,X1,26,No,1513720,No,1
MRRT5V5H,Male,59,RG269,Other,X3,69,No,1085666,Yes,1
DGYEEVB9,Male,31,RG277,Self_Employed,X2,38,No,654310,Yes,0
NCPHBOJ6,Male,30,RG261,Salaried,X1,31,No,622804,No,0
XZZMUD2F,Female,74,RG269,Other,X2,91,Yes,1085292,No,1
PARBMBYQ,Female,50,RG280,Self_Employed,X4,14,No,558305,Yes,0
SR4JMZPX,Male,65,RG268,Other,X3,111,,780254,Yes,1
ZDAB9NVT,Female,84,RG268,Other,X3,115,,2013055,Yes,1
UQPPN3ZF,Male,27,RG261,Other,X3,20,Yes,976970,No,0
DGCENRDN,Male,51,RG283,Salaried,X3,104,,977932,No,1
2BPVUOE5,Male,25,RG268,Self_Employed,X2,21,Yes,593113,No,0
ARYUDHJZ,Female,27,RG254,Salaried,X1,20,No,622733,No,0
DM6X2HP4,Male,50,RG283,Self_Employed,X3,68,Yes,1030005,No,0
CFDPUNC5,Male,46,RG254,Self_Employed,X2,62,No,1982492,No,0
NRZJ6BYW,Male,25,RG284,Salaried,X1,20,No,844076,Yes,0
FNZR2OMR,Male,61,RG284,Self_Employed,X3,61,Yes,620864,Yes,1
ND3HSSD7,Female,41,RG284,Self_Employed,X3,19,Yes,2362763,No,0
NFUQ8MMU,Male,43,RG268,Salaried,X3,98,,3459082,No,1
SRRAYDTB,Male,52,RG268,Self_Employed,X3,51,No,432175,No,0
MCWZGTF7,Male,58,RG283,Self_Employed,X2,85,,791103,Yes,1
UWTBHDUP,Female,27,RG274,Salaried,X1,32,No,840062,No,0
QWXEYSSJ,Female,31,RG275,Salaried,X1,27,No,798214,Yes,0
KDVRWVXM,Female,25,RG254,Other,X1,21,No,1117893,Yes,0
AL3OSDYU,Male,49,RG268,Salaried,X1,14,Yes,649984,No,1
TM6LGLHA,Female,51,RG281,Self_Employed,X4,13,No,331720,Yes,0
BRTNB3ZR,Male,24,RG284,Salaried,X1,7,No,826916,Yes,0
HLNDT9FX,Female,61,RG273,Self_Employed,X3,68,Yes,772075,No,1
RTJGHIVD,Male,50,RG283,Self_Employed,X2,87,No,771603,Yes,0
EKCTPWNJ,Female,28,RG259,Other,X1,20,No,636189,No,0
HXHXMJAB,Male,30,RG270,Other,X1,19,No,986039,No,0
SYDUDH3M,Female,28,RG261,Other,X1,32,Yes,1305585,No,0
KVBQS8DX,Female,26,RG258,Other,X1,26,Yes,365238,No,0
BPRZCSDZ,Female,64,RG283,Salaried,X1,49,,1010568,Yes,1
8T4A79DL,Male,39,RG282,Self_Employed,X1,15,No,637524,No,1
RMR2CYKN,Male,49,RG259,Self_Employed,X3,14,Yes,531917,No,1
2KNYI2YU,Male,75,RG269,Other,X2,62,No,630369,Yes,0
U9L4KYDC,Male,44,RG273,Self_Employed,X3,39,No,1271187,Yes,0
TIN9QCSW,Female,29,RG252,Other,X1,14,No,270034,No,0
DJKVZZNP,Male,43,RG279,Self_Employed,X1,31,No,540212,No,0
D4QJM25O,Male,29,RG261,Salaried,X1,19,No,383047,No,0
7YKPGSZ2,Male,27,RG284,Salaried,X1,14,No,1450121,Yes,0
7XO4BTVH,Male,49,RG268,Self_Employed,X3,105,Yes,1002869,Yes,0
5AC6TN9C,Male,27,RG268,Salaried,X1,19,Yes,3879456,No,0
6MPSVS6Y,Male,49,RG284,Self_Employed,X3,111,No,843337,Yes,0
DA86D2VC,Male,36,RG274,Salaried,X1,33,No,738575,No,0
EJU78MM7,Male,36,RG254,Salaried,X1,27,No,1811684,No,0
A5DV6YQP,Female,32,RG262,Salaried,X1,20,No,385183,No,0
MH4QVYVV,Female,31,RG254,Other,X1,25,No,1182320,No,0
8C39KEMX,Male,42,RG268,Other,X1,14,Yes,943177,No,0
CJP4XXUF,Male,31,RG254,Salaried,X1,27,No,903875,No,0
65QDDQ6K,Male,44,RG283,Self_Employed,X3,74,No,1419443,Yes,0
27MA4MX8,Male,59,RG284,Self_Employed,X3,15,Yes,938166,Yes,0
WUPRF3Z6,Male,41,RG273,Self_Employed,X2,38,No,506828,Yes,0
EMZFOLWP,Female,24,RG280,Salaried,X1,13,No,948651,Yes,0
HTKP3MTQ,Male,50,RG283,Other,X3,80,No,1740163,Yes,0
DXUDA4WA,Male,31,RG277,Salaried,X1,32,No,790346,No,0
6KEGXIFU,Male,66,RG258,Other,X2,75,No,1101019,Yes,0
QLFEMNQG,Male,28,RG281,Salaried,X1,25,Yes,1018168,No,0
RBXY55TX,Female,54,RG254,Other,X2,51,Yes,558777,No,0
F5ZHHDA9,Female,55,RG277,Self_Employed,X3,50,Yes,611421,No,1
GKJ6WEPR,Male,44,RG280,Self_Employed,X2,21,,539731,Yes,1
BRJIWHZA,Female,39,RG284,Self_Employed,X1,15,No,1085880,No,0
GSI3DJJW,Male,31,RG254,Salaried,X1,33,No,1134901,No,0
O9N9VILN,Female,25,RG270,Self_Employed,X1,13,No,370400,No,0
3S8NKOEO,Male,45,RG274,Salaried,X3,99,,1690136,No,1
8DGVWI7P,Male,35,RG270,Salaried,X1,20,No,695365,No,0
6ZJC3DTX,Female,28,RG269,Other,X1,32,No,692233,Yes,0
NTAUJZWM,Male,57,RG269,Self_Employed,X3,62,Yes,1046043,No,0
2ZZX5TAD,Female,26,RG263,Other,X1,15,No,1572007,No,0
JHZJSY6V,Female,31,RG252,Self_Employed,X1,20,No,141643,No,0
7DNQKAPK,Male,49,RG284,Self_Employed,X2,33,No,693915,Yes,0
ITOXGCTA,Male,26,RG261,Salaried,X1,14,No,1399622,No,0
3UBUPT79,Male,47,RG268,Self_Employed,X3,104,Yes,434916,Yes,1
GG9AJFX4,Male,58,RG268,Self_Employed,X3,122,Yes,3578868,No,0
6C8V5VEW,Male,39,RG263,Self_Employed,X2,20,Yes,540425,No,0
U8AXTKVR,Male,29,RG252,Salaried,X1,27,No,533911,No,0
JIFPS4A5,Male,47,RG254,Self_Employed,X2,39,Yes,1862164,No,0
APZDASU7,Male,30,RG284,Salaried,X1,13,No,441448,Yes,0
EIQWDEYB,Male,69,RG268,Other,X3,91,Yes,817100,Yes,1
MUQ7YHQK,Male,43,RG283,Self_Employed,X2,92,No,1489771,No,0
CRXE4Z5Y,Female,29,RG268,Salaried,X1,27,No,1463729,Yes,0
INJQAD2C,Female,31,RG264,Other,X1,33,No,923303,No,0
4KZWZPAS,Female,31,RG252,Salaried,X1,31,No,435637,No,0
DCZCMWEH,Female,56,RG284,Other,X2,74,Yes,1353164,No,1
EU34GAQC,Female,38,RG284,Self_Employed,X2,13,Yes,669974,No,0
T6EMC9LE,Female,57,RG274,Self_Employed,X1,32,No,831829,No,0
E674X6EQ,Male,42,RG270,Self_Employed,X3,20,Yes,744965,No,1
Q5N3G69P,Male,29,RG254,Self_Employed,X1,26,No,6722899,Yes,0
38ARYRUQ,Male,44,RG268,Self_Employed,X1,61,Yes,1474596,No,0
NGVRF49Z,Male,60,RG270,Self_Employed,X2,81,,2057065,No,1
CSB3ZABS,Female,27,RG272,Salaried,X1,21,No,883022,No,0
C5WDR8T7,Female,45,RG276,Self_Employed,X2,86,No,591200,No,0
4EDL8KNU,Female,52,RG274,Salaried,X2,73,,1323794,Yes,1
JIM34DXT,Female,38,RG283,Self_Employed,X4,13,Yes,700100,No,0
WGMISUWD,Male,54,RG270,Other,X3,127,Yes,1154588,No,1
FHMAVBAG,Male,45,RG268,Self_Employed,X3,61,Yes,2662399,Yes,1
ZPBNDMAG,Male,58,RG268,Self_Employed,X2,37,No,1815315,Yes,0
GSACE7AH,Female,24,RG256,Other,X1,14,Yes,682994,No,0
AH3LXZED,Male,55,RG263,Other,X2,91,Yes,938967,No,1
7WES4SRP,Female,50,RG268,Self_Employed,X3,73,,1503058,No,1
DWQXSGJS,Female,52,RG268,Entrepreneur,X2,61,,1403708,Yes,1
CV9UOIJ4,Female,34,RG277,Other,X1,13,Yes,642250,No,0
7N8B2V6A,Female,47,RG283,Self_Employed,X2,51,No,1018471,No,0
NXNRQCPD,Male,78,RG254,Other,X3,86,,683520,Yes,1
7PT3DC7Y,Female,50,RG284,Self_Employed,X3,75,Yes,1132863,No,0
5RRXKH6G,Female,50,RG270,Self_Employed,X1,33,No,1268668,No,0
VDEVPN8R,Male,42,RG268,Salaried,X2,69,,1860251,No,1
HYNAMX9B,Female,28,RG281,Salaried,X1,33,No,411598,No,1
GHRSO9HA,Female,32,RG251,Salaried,X1,33,No,735682,No,0
X3QHDBUT,Female,69,RG283,Other,X3,123,No,1503735,Yes,0
FGBPCKDX,Male,41,RG269,Self_Employed,X2,73,Yes,690586,Yes,1
JNY2VTHP,Male,49,RG270,Self_Employed,X2,92,No,563040,No,0
HKKD6ESU,Male,32,RG264,Salaried,X1,33,No,462897,No,0
BB84WJ77,Female,46,RG268,Self_Employed,X3,69,No,579247,Yes,1
VPWG3LFG,Female,45,RG268,Self_Employed,X3,121,Yes,2845178,Yes,0
NZEJG5QD,Male,46,RG268,Self_Employed,X4,14,No,379033,Yes,0
MWLPLY53,Male,43,RG268,Self_Employed,X3,20,Yes,548044,No,0
JTT9SPJG,Female,41,RG283,Self_Employed,X1,26,Yes,469991,No,0
ZJ4NFVLS,Female,28,RG254,Other,X1,14,No,1868661,Yes,0
CVKGKGW3,Female,80,RG283,Other,X1,56,No,2076459,No,0
RO3EPDDP,Male,75,RG272,Other,X3,91,Yes,899816,No,1
GQYVRG7O,Female,46,RG274,Self_Employed,X2,13,,768746,No,1
Y2DYDDQU,Male,42,RG272,Self_Employed,X1,33,No,421245,No,0
MYN6YD2U,Female,45,RG283,Self_Employed,X2,32,No,3407498,Yes,0
VDONA9PV,Male,30,RG254,Other,X1,27,No,419145,No,0
GKAFSIX9,Male,27,RG279,Salaried,X1,20,No,1732972,No,0
HQEN7DXC,Male,47,RG277,Self_Employed,X2,93,Yes,1210996,No,1
SKMZXOAW,Male,52,RG269,Self_Employed,X4,14,Yes,675590,Yes,0
BCBVNIE7,Male,29,RG254,Salaried,X1,33,No,623382,Yes,0
8FO9VMJL,Male,37,RG253,Other,X2,14,No,921630,No,0
MJGTVEB2,Male,33,RG283,Salaried,X1,25,Yes,1400530,No,0
C3CYIH26,Male,67,RG268,Other,X2,69,Yes,968827,Yes,0
PYBVNOFF,Female,64,RG284,Other,X2,69,No,1831175,No,0
RPCWANCD,Male,51,RG257,Self_Employed,X3,98,,573160,Yes,0
SNCEFZVA,Female,40,RG284,Self_Employed,X3,74,No,902219,No,0
4UDDNEPC,Male,28,RG252,Salaried,X1,15,No,771808,No,0
XUCNYKRX,Male,44,RG280,Self_Employed,X2,75,,2429183,No,1
6PFM27AQ,Female,49,RG283,Self_Employed,X2,51,Yes,1382935,No,1
IQDUETZG,Male,55,RG271,Other,X2,74,Yes,840569,No,1
TWB2FVVE,Male,48,RG283,Self_Employed,X3,31,No,516280,No,0
BVJFFB4O,Male,58,RG283,Self_Employed,X3,111,Yes,1214262,No,0
UES5SWTH,Female,28,RG275,Salaried,X1,21,No,803411,No,0
HYYX6ZXQ,Male,51,RG279,Other,X3,38,No,1016682,Yes,0
8DWR9GZ3,Male,60,RG260,Self_Employed,X2,97,,904702,No,1
S5WUUQGQ,Male,46,RG284,Self_Employed,X3,103,,2238350,Yes,1
YYSWYBA3,Male,40,RG276,Self_Employed,X3,15,,553393,No,1
F5CKNSGD,Male,28,RG268,Salaried,X1,14,No,1119744,Yes,0
KBMUNGSS,Male,55,RG262,Self_Employed,X2,68,No,969281,Yes,0
ACLJPYBJ,Male,34,RG264,Self_Employed,X1,31,No,537515,No,0
T69TQHCM,Female,28,RG254,Salaried,X1,27,No,600082,Yes,0
Z6XKSGLN,Female,30,RG254,Other,X1,14,No,1084420,Yes,0
3HMHOTQD,Female,24,RG270,Salaried,X1,14,No,613165,No,0
PWOYUAIE,Male,54,RG254,Self_Employed,X3,15,No,1435436,Yes,0
SQZAMYSZ,Female,59,RG268,Self_Employed,X3,50,No,8256124,No,0
SZVHVDSF,Male,48,RG283,Self_Employed,X3,105,Yes,325962,No,0
AYXSSKIX,Male,40,RG268,Self_Employed,X1,27,No,3441282,Yes,0
HBJAVQUT,Female,45,RG268,Self_Employed,X3,74,No,2612888,No,0
VNS6UF5J,Male,36,RG254,Self_Employed,X2,19,No,641752,No,0
O3NASUBB,Male,44,RG275,Self_Employed,X3,49,No,796541,No,0
GD9DTTHS,Female,27,RG251,Salaried,X1,27,No,425517,No,0
NSV7X2YN,Male,39,RG282,Salaried,X3,25,Yes,418237,No,0
HUJ4DHMF,Female,51,RG283,Self_Employed,X1,73,,265513,No,0
WYJQNMX9,Male,36,RG276,Salaried,X1,21,Yes,710638,No,0
IODHER6A,Male,42,RG257,Self_Employed,X3,19,No,364633,Yes,0
4KWGWIDP,Female,34,RG268,Self_Employed,X3,15,Yes,1407134,No,0
RYI5PHON,Male,40,RG282,Self_Employed,X2,39,No,1137010,No,0
UJZRYZX6,Male,50,RG284,Other,X3,93,Yes,861199,No,1
YXESHGSH,Female,33,RG268,Salaried,X1,15,No,447055,No,0
